City,Latitude,Longitude
Cheverly,38.928167,-76.915807
Cassopolis,41.9117134,-86.0100069
Belle Glade,26.6845104,-80.6675577
Sterling,31.8151416,-101.0452671
Chicago Heights,41.5062834,-87.6357079
Plummerville,42.5650963,-86.2300804061812
Kiln,30.4090829,-89.4350519
West Orange,40.7987113,-74.2390353
Townsend,35.6753657,-83.7557282
Lynn,33.1474257,-101.812592
Concord,43.207178,-71.537476
Sanford,35.4798757,-79.1802994
Macon,32.8406946,-83.6324022
Princeton,40.3496953,-74.6597376
Anaheim,33.8347516,-117.911732
Rome,43.2128473,-75.4557304
Gary,41.6020962,-87.3370646
Weymouth,42.2212188,-70.9391625
Berea,41.3661614,-81.8543026
Talbotton,32.6776372,-84.5393664
Harvey,38.0352315,-97.4486267
Colfax,41.5738643,-97.0828487
Delcambre,29.948261,-91.9887328
Tylertown,31.1160119,-90.1420331
Freehold,40.2601096,-74.2737573
Pasadena,34.1476507,-118.144155
Dubuque,42.5006243,-90.6647985
Searcy,35.9018987,-92.7098744
Linden,33.0123537,-94.3654707
Paterson,40.9167654,-74.171811
Moline,41.5058344,-90.5136642
Covina,34.0877926,-117.8891164
Naperville,41.7728699,-88.1479278
Thief River Falls,48.1172301,-96.1770667
Leavenworth,39.345184,-94.921703
Glendive,47.10529,-104.71246
Horse Cave,37.179496,-85.9069175
Opelika,32.6454116,-85.3782795
Charlestown,43.2383483,-72.4247132
Hoboken,40.7433066,-74.0323752
Toccoa,34.5774368,-83.332881
Gurnee,42.3702996,-87.9020186
Mobile,30.6913462,-88.0437509
Summerfield,38.5972705,-89.751762
El Dorado,38.7574137,-120.5276129
Danville,40.125222,-87.6304614
Compton,33.894927,-118.226624
Niles,42.0289319,-87.8122348
Orinda,37.8771476,-122.1796888
New Orleans,29.9759983,-90.0782127
Reseda,34.2006552,-118.536528
Hickory Hills,41.7255879,-87.825055
Upper Marlboro,38.8162451,-76.751708
New Castle,40.9999202,-80.3471856
Arkansas City,37.0622562,-97.0388338
Bushnell,28.6644827,-82.1117399
Madison County,30.9551586,-95.9507234
East Point,33.6795531,-84.4393724
Owensboro,37.7742152,-87.1133304
Miles City,46.4085273,-105.840981
Englewood,39.6482059,-104.9879641
Gardena,33.8815702,-118.2918113
Thornton,39.8695516,-104.985181
Fort Washington,38.7254674,-76.9900251
Chestertown,39.2089986,-76.0666126
Landover,38.92531295,-76.88154330442846
Melrose Park,41.900299,-87.8569745
Pittsburg,34.9327085,-95.7625858
Claremont,34.0966764,-117.7197785
Greenwood,37.8709542,-96.2471338
Savannah,32.0790074,-81.0921335
Rosedale,35.3777238,-119.14565861581144
Laguna,35.040423000000004,-107.42662835745045
San Mateo,37.496904,-122.3330573
Brantley,31.1928547,-81.9943569
Tolono,39.9861415,-88.2589387
Bloomfield Hills,42.583645,-83.2454883
Gaithersburg,39.1399187,-77.1929215
La Porte,29.6657838,-95.0193729
Wyoming,43.1700264,-107.568534
Boynton Beach,26.5256179,-80.0666026
Crawford,41.6951179,-80.1428967
Whiting,42.1275504,-96.1524914
Westminster,39.8366528,-105.0372046
Hogansville,33.1731769,-84.914936
Chanute,37.6816841,-95.4517985
Hazard,37.2489635,-83.1933893
Boonville,38.9751547,-92.7440277
Tuckerman,35.7310015,-91.1994584
Chipley,30.7818584,-85.538541
Martinsville,36.6915262,-79.8725386
Los Angeles,34.0536909,-118.242766
Freeport,42.2966861,-89.6212271
Perth Amboy,40.5200187,-74.2745215
Vredenburgh,31.8284857,-87.3216563
Frederick,39.2127031,-78.279166
Alexandria,38.8051095,-77.0470229
Southfield,42.4733689,-83.2218731
Rutherford,35.3994626,-81.9023191
Biloxi,30.4007626,-88.8893818
Cleveland,41.4996574,-81.6936772
East Orange,40.767323,-74.2048677
Wilmington,39.7459468,-75.546589
Hamtramck,42.3928151,-83.0496438
Pocatello,42.8620287,-112.450627
Midway,31.0260203,-95.7505033
Hamilton,31.6429346,-97.9715967
Fullerton,33.8708215,-117.929416
Greenbrae,37.9485356,-122.5247031
Harvard,42.365743249999994,-71.12221394207614
Winona,43.9582272,-91.7807784
Madison,43.074761,-89.3837613
Bessemer,33.4017766,-86.954437
Camden,39.9448402,-75.1198911
Lisle,41.801159,-88.0747687
Yale,41.7750621,-94.3550094
Huntsville,34.729847,-86.5859011
Blytheville,35.9288199,-89.9073557
Winnsboro,32.9573449,-95.2902224
Sorrento,28.8074435,-81.56380945082174
Hackensack,40.8871438,-74.0410865
Grambling,32.5276503,-92.7140403
Pitman,39.731681,-75.1300457
Silver Spring,38.9959461,-77.0276231
Cedar Rapids,41.9758872,-91.6704053
Ypsilanti,42.241051,-83.6117646
Pratt,37.6280602,-98.7485305
Athens,33.9597677,-83.376398
Leesburg,28.810823,-81.8778582
Chesterton,41.6105938,-87.0641992
Hattiesburg,31.3271189,-89.2903392
Farmington,41.7198216,-72.8320435
Elizabeth,40.6639916,-74.2107006
Baker,0.19541795,-176.47793588059142
San Bernardino,34.8253019,-116.0833144
Torrance,33.8371392,-118.3413606
Park Forest,41.4825788,-87.6802344
Forest Green,46.7610576,-110.7410664
Bartow,34.2394683,-84.8406984
Cherry Valley,33.979536949999996,-116.97060026563273
Hagerstown,39.6430455,-77.7191081
Lagoda,35.2895515,-80.4249229
Norwood,39.1556149,-84.4596641
Pensacola,30.421309,-87.2169149
Meridian,32.3643098,-88.703656
Pearl,32.2735792,-90.127881
Berne,40.5239821,-76.0016017
Petersburg,37.227928,-77.4019268
Sylacauga,33.1731716,-86.2516406
Pennville,39.79000275,-76.99310009380375
Pascagoula,30.3646795,-88.5585995
Bellflower,33.8825705,-118.1167679
Northridge,34.2345615,-118.5369316
Mission Hills,39.0177834,-94.6169014
Bangor,44.8016255,-68.7713289
Kalamazoo,42.291707,-85.5872286
Elmhurst,41.8994745,-87.9403418
Oak Park,41.8878145,-87.7887615
Mishawaka,41.6611642,-86.1807031
River Rouge,42.2729262,-83.1352891
Alamogordo,32.8998822,-105.9602081
Jasper,30.7485258,-94.000884
Ontario,34.065846,-117.64843
Ruleville,33.7259478,-90.5514806
Port St. Lucie,27.2939333,-80.3503283
Oskaloosa,41.2951037,-92.6448451
Las Cruces,32.3140354,-106.779807
Fishers,39.9555928,-86.0138729
Midlothian,41.6253116,-87.7175491
East Chicago,41.6397857,-87.4548466
Shreveport,32.5135356,-93.7477839
Orange,33.750631,-117.8722311
Hobbs,32.707667,-103.1311314
Temple Hills,38.8140024,-76.9455296
Orange City,28.9488761,-81.2986741
Little Rock,34.7465071,-92.2896267
Greeley,38.4570355,-101.8185007
Hopkinsville,36.8657651,-87.4889532
Daytona Beach,29.2108147,-81.0228331
Modesto,37.6393419,-120.9968892
Anderson,31.7819242,-95.6258199
Waukegan,42.3636331,-87.8447938
San Francisco,37.7792588,-122.4193286
Indianapolis,39.7683331,-86.1583502
Selma,32.4078632,-87.0207473
West Palm Beach,26.715364,-80.0532942
Haines City,28.1067315,-81.6287423
Fort Walton,30.4057552,-86.618842
Fort Smith,35.3880338,-94.4265011
Huntington Beach,33.6783336,-118.000016
Thomson,41.9589158,-90.0992924
Billings,45.7874957,-108.49607
Riviera Beach,26.784343,-80.0650293
Iowa City,41.6612561,-91.5299106
Jersey City,40.7215682,-74.047455
Colorado Springs,38.8339578,-104.825348
Piscataway,40.5462553,-74.4660408
Lincoln,40.8088861,-96.7077751
Montgomery,40.2154361,-75.3702305
Seaside,36.62593,-121.8169260491048
Carson,35.3636563,-101.3353895
West Point,33.6076186,-88.6503255
Hot Springs,34.5038393,-93.0552437
Santa Maria,34.9531295,-120.435857
New Bedford,41.6362152,-70.934205
Peru,41.3272919,-89.1287636
New Canaan,41.146763,-73.4948446
Columbus,39.9622601,-83.0007065
Emmetsburg,43.1108076,-94.6781897
St. Charles,41.9139808,-88.3128183
Livermore,37.6820583,-121.768053
Hamburg,40.604446,-95.657771
Bakersfield,35.3738712,-119.019463
Nappanee,41.4427856,-86.0013699
Fayetteville,36.0625843,-94.1574328
Swainsboro,32.5973857,-82.3337376
Postville,43.0865887,-91.5684784
Trigg County,36.7949221,-87.8782433
Kankakee,41.1253903,-87.848682
West Plains,36.7281652,-91.8525756
St. Louis Park,44.9475726,-93.3569023
Monterey,36.2231079,-121.387742
Tucson,32.2228765,-110.974847
Malvern,41.0024095,-95.5851939
Norris City,37.9811576,-88.3292104
Silver City,41.1133311,-95.637226
Rochester,43.157285,-77.615214
West Covina,34.0686208,-117.9389526
Havre De Grace,39.5491329,-76.095817
Kirksville,40.1948848,-92.5833939
Bastrop,30.0541116,-97.3887764
Owenton,38.536456,-84.8418926
Roxana,38.8482602,-90.0768875
Birmingham,33.5206824,-86.8024326
Fort Valley,32.5537585,-83.8874084
Mount Vernon,38.3172715,-88.9031201
Melbourne,28.106471,-80.6371513
Elberton,34.1112226,-82.8670839
East St. Louis,38.6268666,-90.159707
South Holland,41.6008681,-87.6069894
Romulus,42.2222614,-83.3965995
Indianola,33.4509513,-90.6550917
Houston,29.7589382,-95.3676974
Santa Clara,37.2333253,-121.6846349
Downey,33.9404441,-118.1292846
Fort Scott,37.8399791,-94.7082882
Manchester,42.9956397,-71.4547891
London,39.8864493,-83.448253
Livingston,42.5924563,-83.9147925
Edina,44.8897027,-93.3501222
Odenton,39.065778800000004,-76.6876169120418
East Peoria,40.666149,-89.5800978
Carrollton,32.9537349,-96.8902816
Homer,59.6440876,-151.540147
Long Lake,44.9863892,-93.5715908
Long Branch,40.3042778,-73.9923596
Libby,48.3883645,-115.5558612
Powell,37.8192526,-83.8239902
Merced,37.1641544,-120.7678602
San Pedro,33.7358518,-118.2922934
New Haven,41.3082138,-72.9250518
Mission Viejo,33.5965685,-117.659405
Fort Myers,26.640628,-81.8723084
Blue Island,41.6573014,-87.679871
Monticello,38.010319249999995,-78.4523330471344
Hobart,41.5322592,-87.2550353
Warren,41.8119602,-79.2654452
Lockport,43.1687104,-78.696567
Newport Beach,33.6170092,-117.9294401
Carthage,32.1570412,-94.338114
Arco,44.3835401,-96.1836773
Norcross,33.9412127,-84.2135309
Weirsdale,28.9819277,-81.9242498
Decatur,39.8454163,-88.9524151
San Luis Obispo,35.2827525,-120.659615
Hillside,41.8778084,-87.9028398
Oxon Hill,38.803384,-76.9896507
Kewanee,41.2455927,-89.9248303
Hopkins,33.1368252,-95.5656578
Monroe,41.0400423,-75.3249475
Paulsboro,39.830391,-75.2404608
St. Cloud,45.5616075,-94.1642004
Phoenix,33.4484367,-112.074141
North Hollywood,34.1649502,-118.374752
Wildwood,38.5806948,-90.6314374
McLeansboro,38.0933811,-88.5356076
Ann Arbor,42.2813722,-83.7484616
Slayton,43.987742,-95.755846
Owatonna,44.0839937,-93.2261076
Covington,31.196549,-86.4597236
Panama City,30.1586518,-85.6602936
